         -14           2
          -8          23
          16          10
          -3          22
          -9          23
         -14           0
          -3         -26
          -6          26
         -14          -1
         -15          -1
           4         -26
         -16          -1
          -1         -28
         -10         -17
          16          22
         -11         -17
           0         -29
           4          28
          15          19
          16          23
          10         -25
          -2         -28
         -11         -16
          19           9
          10         -26
          19           8
         -10          23
           5         -26
         -16           0
          12         -14
          -8          22
         -10           7
          -6         -24
          16          20
          15          18
          12         -22
           4         -27
          13          -5
          12          26
          -2         -29
          13         -23
           4         -28
          -5          19
          13         -22
          -4         -26
           1          23
         -10          24
           3          28
         -11           5
          16          24
          -8          21
          17          20
          12         -25
          16          11
          15          24
          13          -4
         -12         -17
          -9          24
          13         -24
          14         -22
          18          20
         -10          22
         -11          22
          -7         -24
         -12          22
          14          23
          13         -14
         -13          22
         -11          24
          12           0
          17          23
           6         -26
         -11          21
          -8         -24
          14         -24
          13         -15
           1         -28
         -11           8
         -14           3
         -13         -17
         -10          25
          -6          27
          -5          27
          20           9
           2         -28
          20          10
         -15          -2
          -7         -25
         -17          -1
         -13         -16
          -7          27
          19           7
           7         -26
           1         -27
          14         -15
          -7         -23
          20           7
          12         -21
           2         -24
         -15          -3
         -18          -1
          14         -21
           3         -27
         -13         -18
          10         -27
           1         -29
         -14          -3
          10         -28
           8          23
         -19          -1
          -8         -25
          15         -24
          14         -25
           4         -29
          18          23
           3          29
         -11         -15
          10         -29
         -19           0
          -9         -25
         -14          22
         -15          22
         -13         -15
           5          28
         -14         -17
         -15          -4
         -16          -4
          21           7
          18          21
         -10         -25
          -2         -27
         -20           0
          -8          27
          16          18
          15         -21
         -21           0
          15         -15
          11         -25
          12          27
         -12          24
          13          25
          15         -16
          -9         -26
         -22           0
          19          21
          -8          28
          16         -16
         -11          20
          -8          29
          -9         -27
          12          28
          -3         -29
          22           7
         -16           1
           2         -29
           6          28
          16         -24
         -22          -1
          19          23
         -11         -25
           4          29
           3          30
          -3         -30
          -8          30
           2         -30
         -22          -2
          -3         -31
         -23          -1
          -4          27
          -8         -27
         -19          -2
           4          30
         -11         -26
          -9          29
          20          21
           3         -30
         -10          26
         -16          -5
          17         -24
          17         -25
          -8          12
          -8          31
         -12         -26
         -16          22
         -11           9
          -9          28
          22           8
         -23           0
          -4         -31
          -5         -31
         -12          25
          11          27
          17         -23
          21          10
         -24           0
         -22           1
          23           8
          -9         -28
          22           6
         -16          23
          22          10
         -10          28
         -22          -3
          -9         -29
          11         -27
          24           8
           3          31
          -5         -32
          11          -8
         -13          25
         -15         -17
         -13         -19
          15          25
           5         -29
          -9          30
          11          28
         -16          24
         -23          -3
          18         -23
         -10          29
         -11          29
          20          23
           3          32
          11           1
         -16          25
         -16           2
          18          24
         -24           1
          20          24
         -13         -20
          13         -13
          18         -24
           3         -31
         -12         -27
         -17          25
